date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1984-12-03,-0.4656840395169226,-0.4656840395169226,NA,NA,1984-12-02,-4.666099374122634,0.11886862681054211,0.17,-0.21,1984-12-01
1984-12-04,0.34334673791320824,0.34334673791320824,NA,NA,1984-12-02,-4.666099374122634,0.11886862681054211,0.17,-0.21,1984-12-01
1984-12-05,-0.7865340761405548,-0.7865340761405548,NA,NA,1984-12-02,-4.666099374122634,0.11886862681054211,0.17,-0.21,1984-12-01
1984-12-06,0.4063226657591734,0.4063226657591734,NA,NA,1984-12-02,-4.666099374122634,0.11886862681054211,0.17,-0.21,1984-12-01
1984-12-07,-0.30767362612333926,-0.30767362612333926,NA,NA,1984-12-02,-4.666099374122634,0.11886862681054211,0.17,-0.21,1984-12-01
1984-12-10,0.3506767906700681,0.3506767906700681,NA,NA,1984-12-09,-4.666099374122634,0.11886862681054211,0.17,-0.26,1984-12-01
1984-12-11,0.14728753406583195,0.14728753406583195,NA,NA,1984-12-09,-4.666099374122634,0.11886862681054211,0.17,-0.26,1984-12-01
1984-12-12,-0.27018867145445213,-0.27018867145445213,NA,NA,1984-12-09,-4.666099374122634,0.11886862681054211,0.17,-0.26,1984-12-01
1984-12-13,-0.5054917633450451,-0.5054917633450451,NA,NA,1984-12-09,-4.666099374122634,0.11886862681054211,0.17,-0.26,1984-12-01
1984-12-14,0.5423766762856275,0.5423766762856275,NA,NA,1984-12-09,-4.666099374122634,0.11886862681054211,0.17,-0.26,1984-12-01
1984-12-17,0.5638991292683748,0.5638991292683748,NA,NA,1984-12-16,-4.666099374122634,0.11886862681054211,0.17,-0.31,1984-12-01
1984-12-18,2.7132979886372866,2.7132979886372866,NA,NA,1984-12-16,-4.666099374122634,0.11886862681054211,0.17,-0.31,1984-12-01
1984-12-19,-0.566707148457013,-0.566707148457013,NA,NA,1984-12-16,-4.666099374122634,0.11886862681054211,0.17,-0.31,1984-12-01
1984-12-20,-0.46771026014535977,-0.46771026014535977,NA,NA,1984-12-16,-4.666099374122634,0.11886862681054211,0.17,-0.31,1984-12-01
1984-12-21,-0.5242773164636283,-0.5002276650615478,NA,NA,1984-12-16,-4.666099374122634,0.11886862681054211,0.17,-0.31,1984-12-01
1984-12-24,0.7524037286592566,0.7524037286592566,NA,NA,1984-12-23,-4.666099374122634,0.11886862681054211,0.17,-0.36,1984-12-01
1984-12-26,-0.17405040163787078,-0.17405040163787078,NA,NA,1984-12-23,-4.666099374122634,0.11886862681054211,0.17,-0.36,1984-12-01
1984-12-27,-0.4334489947035891,-0.4334489947035891,NA,NA,1984-12-23,-4.666099374122634,0.11886862681054211,0.17,-0.36,1984-12-01
1984-12-28,0.3072168963591082,0.3072168963591082,NA,NA,1984-12-23,-4.666099374122634,0.11886862681054211,0.17,-0.36,1984-12-01
1984-12-31,0.5877138355955047,0.5877138355955047,NA,NA,1984-12-30,-4.666099374122634,0.11886862681054211,0.17,-0.4,1984-12-01
